municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
1100015,Alta Floresta D'Oeste - RO,706,Número de unidades locais,2024,908,cempre_general,908.0
1100015,Alta Floresta D'Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,891,cempre_general,891.0
1100015,Alta Floresta D'Oeste - RO,707,Pessoal ocupado total,2024,3855,cempre_general,3855.0
1100015,Alta Floresta D'Oeste - RO,708,Pessoal ocupado assalariado,2024,2872,cempre_general,2872.0
1100015,Alta Floresta D'Oeste - RO,662,Salários e outras remunerações,2024,106616.529,cempre_general,106616.529
1100015,Alta Floresta D'Oeste - RO,10143,Salário médio mensal em reais,2024,2725.24,cempre_general,2725.24
1100023,Ariquemes - RO,706,Número de unidades locais,2024,5154,cempre_general,5154.0
1100023,Ariquemes - RO,367,Número de empresas e outras organizações atuantes,2024,4946,cempre_general,4946.0
1100023,Ariquemes - RO,707,Pessoal ocupado total,2024,25852,cempre_general,25852.0
1100023,Ariquemes - RO,708,Pessoal ocupado assalariado,2024,19904,cempre_general,19904.0
1100023,Ariquemes - RO,662,Salários e outras remunerações,2024,775073.647,cempre_general,775073.647
1100023,Ariquemes - RO,10143,Salário médio mensal em reais,2024,2978.75,cempre_general,2978.75
1100031,Cabixi - RO,706,Número de unidades locais,2024,212,cempre_general,212.0
1100031,Cabixi - RO,367,Número de empresas e outras organizações atuantes,2024,212,cempre_general,212.0
1100031,Cabixi - RO,707,Pessoal ocupado total,2024,856,cempre_general,856.0
1100031,Cabixi - RO,708,Pessoal ocupado assalariado,2024,666,cempre_general,666.0
1100031,Cabixi - RO,662,Salários e outras remunerações,2024,27046.110,cempre_general,27046.11
1100031,Cabixi - RO,10143,Salário médio mensal em reais,2024,3128.57,cempre_general,3128.57
1100049,Cacoal - RO,706,Número de unidades locais,2024,4898,cempre_general,4898.0
1100049,Cacoal - RO,367,Número de empresas e outras organizações atuantes,2024,4680,cempre_general,4680.0
1100049,Cacoal - RO,707,Pessoal ocupado total,2024,26225,cempre_general,26225.0
1100049,Cacoal - RO,708,Pessoal ocupado assalariado,2024,20507,cempre_general,20507.0
