municipality_code,municipality_name,period,active_companies,avg_monthly_salary_brl,employed_salaried,employed_total,local_units,wages_brl_thousand
1100015,Alta Floresta D'Oeste - RO,2024,891.0,2725.24,2872.0,3855.0,908.0,106616.529
1100023,Ariquemes - RO,2024,4946.0,2978.75,19904.0,25852.0,5154.0,775073.647
1100031,Cabixi - RO,2024,212.0,3128.57,666.0,856.0,212.0,27046.11
1100049,Cacoal - RO,2024,4680.0,2823.25,20507.0,26225.0,4898.0,751151.881
1100056,Cerejeiras - RO,2024,874.0,3014.99,2775.0,3707.0,898.0,108780.587
1100064,Colorado do Oeste - RO,2024,755.0,2707.57,2290.0,3061.0,770.0,82477.039
1100072,Corumbiara - RO,2024,245.0,3526.84,1194.0,1416.0,250.0,55137.476
1100080,Costa Marques - RO,2024,384.0,2793.71,1032.0,1416.0,401.0,36931.255
1100098,Espigão D'Oeste - RO,2024,1160.0,2435.52,5008.0,6282.0,1195.0,163330.74
1100106,Guajará-Mirim - RO,2024,1451.0,2808.57,4898.0,6188.0,1531.0,171913.087
1100114,Jaru - RO,2024,2103.0,2934.65,11330.0,13676.0,2207.0,434470.568
1100122,Ji-Paraná - RO,2024,7053.0,2742.92,31698.0,40272.0,7428.0,1121982.981
1100130,Machadinho D'Oeste - RO,2024,1011.0,2419.11,3341.0,4403.0,1045.0,106782.646
1100148,Nova Brasilândia D'Oeste - RO,2024,605.0,2905.64,2070.0,2710.0,620.0,76933.202
1100155,Ouro Preto do Oeste - RO,2024,1528.0,2825.03,6134.0,7862.0,1578.0,225064.776
1100189,Pimenta Bueno - RO,2024,1964.0,2885.87,9895.0,12228.0,2033.0,379041.342
1100205,Porto Velho - RO,2024,22054.0,4700.32,181169.0,206670.0,23649.0,11050262.672
1100254,Presidente Médici - RO,2024,695.0,2567.72,3214.0,3943.0,717.0,107904.722
1100262,Rio Crespo - RO,2024,121.0,3049.07,471.0,555.0,121.0,18037.598
1100288,Rolim de Moura - RO,2024,2473.0,2639.99,13390.0,16238.0,2551.0,468103.501
1100296,Santa Luzia D'Oeste - RO,2024,204.0,2792.04,788.0,959.0,206.0,28804.182
1100304,Vilhena - RO,2024,6186.0,3073.84,27951.0,35339.0,6467.0,1140241.818
1100320,São Miguel do Guaporé - RO,2024,786.0,2726.45,3682.0,4460.0,808.0,131583.389
1100338,Nova Mamoré - RO,2024,655.0,2620.83,2333.0,2962.0,687.0,76752.526
1100346,Alvorada D'Oeste - RO,2024,452.0,2672.74,1300.0,1754.0,458.0,42772.548
1100379,Alto Alegre dos Parecis - RO,2024,296.0,3228.7,1066.0,1366.0,299.0,44998.083
1100403,Alto Paraíso - RO,2024,464.0,3139.51,1429.0,1888.0,470.0,59472.425
1100452,Buritis - RO,2024,1052.0,2685.87,3716.0,4833.0,1082.0,138337.483
1100502,Novo Horizonte do Oeste - RO,2024,246.0,2681.21,876.0,1111.0,253.0,31083.642
1100601,Cacaulândia - RO,2024,134.0,3244.74,444.0,550.0,138.0,18258.337
1100700,Campo Novo de Rondônia - RO,2024,228.0,3224.17,953.0,1161.0,235.0,38304.145
1100809,Candeias do Jamari - RO,2024,762.0,2829.94,2967.0,3725.0,777.0,106536.018
1100908,Castanheiras - RO,2024,102.0,1990.1,454.0,525.0,103.0,11651.646
1100924,Chupinguaia - RO,2024,403.0,3533.8,2461.0,2867.0,412.0,75176.51
1100940,Cujubim - RO,2024,485.0,2859.27,1659.0,2147.0,490.0,63355.172
1101005,Governador Jorge Teixeira - RO,2024,186.0,2451.79,1028.0,1182.0,194.0,33304.688
1101104,Itapuã do Oeste - RO,2024,311.0,2739.62,1467.0,1752.0,319.0,54497.145
1101203,Ministro Andreazza - RO,2024,207.0,2488.45,1203.0,1396.0,210.0,40762.124
1101302,Mirante da Serra - RO,2024,333.0,2618.84,1276.0,1618.0,347.0,44148.822
1101401,Monte Negro - RO,2024,351.0,2864.27,1386.0,1750.0,356.0,53891.392
1101435,Nova União - RO,2024,184.0,2131.45,640.0,814.0,184.0,18008.283
1101450,Parecis - RO,2024,160.0,3504.3,525.0,660.0,163.0,26396.876
1101468,Pimenteiras do Oeste - RO,2024,125.0,3608.68,426.0,529.0,126.0,20317.506
1101476,Primavera de Rondônia - RO,2024,133.0,2772.53,415.0,541.0,133.0,15747.518
1101484,São Felipe D'Oeste - RO,2024,151.0,2740.04,533.0,670.0,154.0,20711.196
1101492,São Francisco do Guaporé - RO,2024,594.0,3191.07,1737.0,2311.0,602.0,78990.257
1101500,Seringueiras - RO,2024,349.0,2578.8,1332.0,1637.0,360.0,45202.657
1101559,Teixeirópolis - RO,2024,116.0,2564.32,439.0,544.0,117.0,15720.321
1101609,Theobroma - RO,2024,188.0,2833.18,630.0,794.0,190.0,25670.666
1101708,Urupá - RO,2024,338.0,2545.44,1438.0,1785.0,342.0,50007.605
1101757,Vale do Anari - RO,2024,225.0,2589.15,750.0,944.0,226.0,25057.759
1101807,Vale do Paraíso - RO,2024,170.0,2426.52,716.0,870.0,172.0,23347.206
1200013,Acrelândia - AC,2024,355.0,3258.92,934.0,1259.0,361.0,41388.132
1200054,Assis Brasil - AC,2024,139.0,3005.01,648.0,749.0,146.0,23792.202
1200104,Brasiléia - AC,2024,868.0,2795.02,3024.0,3832.0,901.0,105146.577
1200138,Bujari - AC,2024,234.0,2282.62,1611.0,1833.0,238.0,51340.314
1200179,Capixaba - AC,2024,182.0,3613.99,612.0,773.0,184.0,28599.783
1200203,Cruzeiro do Sul - AC,2024,2811.0,2218.71,12368.0,15697.0,3074.0,372484.94
1200252,Epitaciolândia - AC,2024,677.0,2382.94,2510.0,3083.0,690.0,75996.033
1200302,Feijó - AC,2024,612.0,2599.49,2418.0,3049.0,650.0,79784.014
1200328,Jordão - AC,2024,112.0,2690.04,676.0,764.0,116.0,21611.395
1200336,Mâncio Lima - AC,2024,284.0,3482.02,1068.0,1356.0,305.0,47300.972
1200344,Manoel Urbano - AC,2024,179.0,3784.65,608.0,744.0,188.0,29520.246
1200351,Marechal Thaumaturgo - AC,2024,149.0,2634.59,795.0,931.0,156.0,41704.082
1200385,Plácido de Castro - AC,2024,315.0,2246.57,2572.0,2885.0,329.0,78542.74
1200393,Porto Walter - AC,2024,146.0,2692.42,779.0,930.0,151.0,39322.681
1200401,Rio Branco - AC,2024,14451.0,3882.24,121195.0,137439.0,15600.0,6142168.094
1200427,Rodrigues Alves - AC,2024,162.0,2306.95,1442.0,1589.0,165.0,44758.757
1200435,Santa Rosa do Purus - AC,2024,98.0,2493.73,573.0,626.0,100.0,19074.094
1200450,Senador Guiomard - AC,2024,501.0,2379.72,3162.0,3656.0,518.0,98535.78
1200500,Sena Madureira - AC,2024,958.0,2427.92,3268.0,4260.0,991.0,109987.465
1200609,Tarauacá - AC,2024,777.0,3291.0,2390.0,3227.0,814.0,109567.265
1200708,Xapuri - AC,2024,357.0,2899.46,1245.0,1563.0,370.0,47674.51
1200807,Porto Acre - AC,2024,241.0,1718.05,1128.0,1349.0,253.0,27763.263
1300029,Alvarães - AM,2024,212.0,2170.23,1869.0,2030.0,217.0,47290.979
1300060,Amaturá - AM,2024,146.0,2690.64,556.0,647.0,158.0,30102.673
1300086,Anamã - AM,2024,139.0,1889.66,629.0,720.0,144.0,15724.467
1300102,Anori - AM,2024,267.0,2784.56,1100.0,1324.0,276.0,39235.727
1300144,Apuí - AM,2024,550.0,2740.22,1229.0,1737.0,562.0,40898.978
1300201,Atalaia do Norte - AM,2024,159.0,2346.84,1997.0,2104.0,165.0,59358.107
1300300,Autazes - AM,2024,614.0,2322.7,3703.0,4274.0,660.0,101625.676
1300409,Barcelos - AM,2024,309.0,2055.62,1010.0,1308.0,329.0,27033.814
1300508,Barreirinha - AM,2024,452.0,2564.53,3607.0,3991.0,478.0,102060.471
1300607,Benjamin Constant - AM,2024,439.0,2960.79,3044.0,3423.0,466.0,112527.068
1300631,Beruri - AM,2024,270.0,2239.2,1366.0,1574.0,284.0,41188.017
1300680,Boa Vista do Ramos - AM,2024,247.0,2090.8,2295.0,2481.0,249.0,58339.205
1300706,Boca do Acre - AM,2024,707.0,1572.9,3099.0,3738.0,737.0,75344.775
1300805,Borba - AM,2024,405.0,1861.92,3810.0,4179.0,425.0,90984.55
1300839,Caapiranga - AM,2024,164.0,1829.88,1633.0,1739.0,169.0,37826.667
1300904,Canutama - AM,2024,277.0,1810.2,1675.0,1896.0,283.0,36886.665
1301001,Carauari - AM,2024,477.0,2317.65,1642.0,2080.0,504.0,52517.409
1301100,Careiro - AM,2024,528.0,1680.89,3836.0,4332.0,555.0,81846.653
1301159,Careiro da Várzea - AM,2024,180.0,2042.67,1481.0,1634.0,184.0,39184.441
1301209,Coari - AM,2024,1282.0,3346.51,9515.0,10737.0,1358.0,403282.066
1301308,Codajás - AM,2024,282.0,2500.49,1722.0,1949.0,294.0,53305.29
1301407,Eirunepé - AM,2024,486.0,2495.47,1898.0,2329.0,509.0,64780.361
1301506,Envira - AM,2024,208.0,2203.79,1372.0,1550.0,217.0,34677.998
1301605,Fonte Boa - AM,2024,333.0,2052.51,2998.0,3278.0,342.0,77960.47
1301654,Guajará - AM,2024,162.0,1580.11,613.0,737.0,166.0,12753.112
1301704,Humaitá - AM,2024,1664.0,2871.27,3693.0,5290.0,1726.0,167181.513
1301803,Ipixuna - AM,2024,157.0,1745.71,530.0,688.0,160.0,12050.16
1301852,Iranduba - AM,2024,1449.0,2682.4,6984.0,8640.0,1493.0,228830.44
1301902,Itacoatiara - AM,2024,2533.0,1700.29,10001.0,12542.0,2636.0,223110.757
1301951,Itamarati - AM,2024,169.0,1595.0,1037.0,1172.0,172.0,21012.7
1302009,Itapiranga - AM,2024,261.0,2487.77,784.0,973.0,273.0,28354.015
1302108,Japurá - AM,2024,194.0,2165.13,1537.0,1675.0,200.0,39438.591
1302207,Juruá - AM,2024,180.0,1331.94,1354.0,1483.0,196.0,23214.23
1302306,Jutaí - AM,2024,345.0,1771.21,1259.0,1542.0,355.0,28956.031
1302405,Lábrea - AM,2024,661.0,2785.98,2468.0,3065.0,686.0,85451.794
1302504,Manacapuru - AM,2024,2554.0,2117.28,9511.0,12074.0,2666.0,292485.499
1302553,Manaquiri - AM,2024,242.0,2707.19,1008.0,1190.0,254.0,47169.058
1302603,Manaus - AM,2024,77108.0,3937.71,599717.0,692491.0,84572.0,30430052.422
1302702,Manicoré - AM,2024,1017.0,2063.21,5157.0,6152.0,1068.0,134726.502
1302801,Maraã - AM,2024,183.0,810.66,1653.0,1795.0,187.0,17147.587
1302900,Maués - AM,2024,869.0,1883.46,3357.0,4199.0,911.0,84068.309
1303007,Nhamundá - AM,2024,260.0,1998.1,1732.0,1922.0,276.0,47464.935
1303106,Nova Olinda do Norte - AM,2024,345.0,1986.25,2443.0,2742.0,358.0,71031.505
1303205,Novo Airão - AM,2024,389.0,2415.42,2029.0,2400.0,398.0,63540.293
1303304,Novo Aripuanã - AM,2024,357.0,2213.67,1645.0,1949.0,365.0,45375.009
1303403,Parintins - AM,2024,2104.0,2163.64,8872.0,11097.0,2239.0,264362.583
1303502,Pauini - AM,2024,206.0,2081.41,1458.0,1623.0,212.0,45343.994
1303536,Presidente Figueiredo - AM,2024,883.0,4032.29,4813.0,5691.0,923.0,324978.605
1303569,Rio Preto da Eva - AM,2024,653.0,2388.95,2209.0,2854.0,668.0,70730.44
1303601,Santa Isabel do Rio Negro - AM,2024,160.0,1545.11,1280.0,1391.0,169.0,25669.987
1303700,Santo Antônio do Içá - AM,2024,254.0,1376.17,2674.0,2863.0,281.0,47268.869
1303809,São Gabriel da Cachoeira - AM,2024,589.0,1493.39,2615.0,3171.0,632.0,51303.764
1303908,São Paulo de Olivença - AM,2024,257.0,2791.38,2755.0,2974.0,275.0,93937.884
1303957,São Sebastião do Uatumã - AM,2024,186.0,2172.48,743.0,880.0,192.0,20187.829
1304005,Silves - AM,2024,240.0,4568.36,1155.0,1326.0,247.0,68454.89
1304062,Tabatinga - AM,2024,1032.0,1906.61,6413.0,7412.0,1106.0,156828.379
1304104,Tapauá - AM,2024,230.0,1745.34,2032.0,2227.0,240.0,46143.319
1304203,Tefé - AM,2024,1620.0,1643.54,10808.0,12390.0,1699.0,220378.439
1304237,Tonantins - AM,2024,220.0,906.73,2731.0,2901.0,229.0,30835.249
1304260,Uarini - AM,2024,219.0,1622.25,675.0,823.0,224.0,14293.243
1304302,Urucará - AM,2024,373.0,2091.3,1152.0,1468.0,381.0,38089.883
1304401,Urucurituba - AM,2024,272.0,1831.68,1771.0,1987.0,280.0,37751.953
1400027,Amajari - RR,2024,130.0,2263.39,793.0,896.0,135.0,22103.683
1400050,Alto Alegre - RR,2024,223.0,1982.52,1131.0,1301.0,230.0,28835.917
1400100,Boa Vista - RR,2024,15108.0,3916.31,126285.0,144015.0,16476.0,6426132.428
1400159,Bonfim - RR,2024,261.0,3002.98,1275.0,1514.0,267.0,47268.085
1400175,Cantá - RR,2024,359.0,2547.0,1584.0,1917.0,368.0,53993.394
1400209,Caracaraí - RR,2024,416.0,2145.85,1565.0,1975.0,435.0,47054.567
1400233,Caroebe - RR,2024,208.0,2365.9,659.0,841.0,212.0,24805.235
1400282,Iracema - RR,2024,165.0,2164.67,982.0,1122.0,169.0,34477.925
1400308,Mucajaí - RR,2024,345.0,2662.92,1424.0,1745.0,358.0,50029.163
1400407,Normandia - RR,2024,106.0,1340.48,1655.0,1726.0,108.0,30922.626
1400456,Pacaraima - RR,2024,346.0,1936.7,1933.0,2235.0,369.0,46980.19
1400472,Rorainópolis - RR,2024,867.0,2005.17,4174.0,5014.0,898.0,113847.022
1400506,São João da Baliza - RR,2024,223.0,2094.22,1285.0,1449.0,229.0,39798.633
1400605,São Luiz do Anauá - RR,2024,201.0,2210.51,606.0,770.0,201.0,22436.448
1400704,Uiramutã - RR,2024,95.0,2304.84,697.0,754.0,96.0,20118.64
1500107,Abaetetuba - PA,2024,2635.0,2548.93,15767.0,18658.0,2775.0,513244.837
1500131,Abel Figueiredo - PA,2024,149.0,2657.52,758.0,880.0,151.0,27447.509
1500206,Acará - PA,2024,585.0,3084.4,6143.0,6716.0,595.0,239944.124
1500305,Afuá - PA,2024,276.0,3250.97,2817.0,3056.0,285.0,117459.478
1500347,Água Azul do Norte - PA,2024,409.0,3556.56,3669.0,4061.0,418.0,179264.735
1500404,Alenquer - PA,2024,793.0,3164.08,3697.0,4454.0,817.0,147928.25
1500503,Almeirim - PA,2024,792.0,3104.36,5368.0,6138.0,846.0,212935.461
1500602,Altamira - PA,2024,4480.0,3034.95,20783.0,25765.0,4676.0,827359.61
1500701,Anajás - PA,2024,348.0,3096.28,3011.0,3334.0,362.0,110847.351
1500800,Ananindeua - PA,2024,12501.0,2608.94,81183.0,95104.0,13160.0,2756830.091
1500859,Anapu - PA,2024,829.0,2738.48,2894.0,3708.0,838.0,108048.984
1500909,Augusto Corrêa - PA,2024,373.0,2339.54,4037.0,4389.0,378.0,120657.744
1500958,Aurora do Pará - PA,2024,282.0,2808.99,1708.0,1965.0,285.0,63609.006
1501006,Aveiro - PA,2024,177.0,2692.62,1083.0,1231.0,182.0,43247.232
1501105,Bagre - PA,2024,208.0,1772.69,747.0,928.0,212.0,17380.052
1501204,Baião - PA,2024,439.0,2985.75,2824.0,3230.0,448.0,106100.339
1501253,Bannach - PA,2024,121.0,2613.01,530.0,626.0,123.0,17733.893
1501303,Barcarena - PA,2024,3231.0,3531.59,35311.0,38633.0,3379.0,1636781.208
1501402,Belém - PA,2024,44211.0,4479.91,439013.0,495443.0,47969.0,25281015.317
1501451,Belterra - PA,2024,330.0,2440.36,2022.0,2366.0,338.0,63491.586
1501501,Benevides - PA,2024,1736.0,2642.13,16224.0,18017.0,1813.0,551020.69
1501576,Bom Jesus do Tocantins - PA,2024,346.0,2748.52,1753.0,2084.0,349.0,62716.718
1501600,Bonito - PA,2024,144.0,1816.4,1288.0,1404.0,148.0,30162.875
1501709,Bragança - PA,2024,1835.0,2665.16,11934.0,13862.0,1935.0,407534.311
1501725,Brasil Novo - PA,2024,449.0,1785.23,2006.0,2443.0,453.0,45709.664
1501758,Brejo Grande do Araguaia - PA,2024,171.0,2264.54,713.0,847.0,172.0,21180.19
1501782,Breu Branco - PA,2024,741.0,3550.19,3645.0,4382.0,758.0,181051.998
1501808,Breves - PA,2024,1494.0,2372.76,10603.0,12166.0,1531.0,319957.995
1501907,Bujaru - PA,2024,258.0,2857.08,1429.0,1648.0,267.0,66888.297
1501956,Cachoeira do Piriá - PA,2024,229.0,2399.14,1741.0,1968.0,232.0,53877.346
1502004,Cachoeira do Arari - PA,2024,224.0,2331.97,1803.0,1983.0,229.0,55654.21
1502103,Cametá - PA,2024,1433.0,3593.41,8589.0,10117.0,1489.0,397364.67
1502152,Canaã dos Carajás - PA,2024,3671.0,4571.74,34724.0,38806.0,3761.0,2001757.218
1502202,Capanema - PA,2024,2114.0,2366.31,9934.0,12206.0,2190.0,311700.989
1502301,Capitão Poço - PA,2024,2007.0,1623.74,6472.0,8514.0,2031.0,132580.287
1502400,Castanhal - PA,2024,6723.0,2323.41,43276.0,51061.0,6998.0,1261531.91
1502509,Chaves - PA,2024,128.0,2002.43,2840.0,2960.0,135.0,69101.342
1502608,Colares - PA,2024,180.0,2467.25,1018.0,1151.0,181.0,31905.827
1502707,Conceição do Araguaia - PA,2024,1408.0,2628.55,5941.0,7696.0,1462.0,204976.659
1502756,Concórdia do Pará - PA,2024,524.0,2659.1,4618.0,5101.0,528.0,157244.466
1502764,Cumaru do Norte - PA,2024,312.0,3139.49,1409.0,1699.0,320.0,57977.344
1502772,Curionópolis - PA,2024,576.0,3514.09,3653.0,4218.0,585.0,168058.723
1502806,Curralinho - PA,2024,266.0,3563.85,2704.0,2920.0,270.0,121916.137
1502855,Curuá - PA,2024,170.0,2716.54,1153.0,1280.0,172.0,41655.418
1502905,Curuçá - PA,2024,513.0,2607.6,4035.0,4571.0,529.0,132765.285
1502939,Dom Eliseu - PA,2024,1409.0,2622.16,6517.0,7938.0,1436.0,223821.01
1502954,Eldorado do Carajás - PA,2024,681.0,2369.84,2965.0,3646.0,691.0,89512.802
1503002,Faro - PA,2024,119.0,2075.96,1078.0,1165.0,127.0,41150.15
1503044,Floresta do Araguaia - PA,2024,486.0,2456.32,2031.0,2524.0,493.0,64119.224
1503077,Garrafão do Norte - PA,2024,341.0,2172.84,2913.0,3218.0,344.0,83898.85
1503093,Goianésia do Pará - PA,2024,673.0,2828.43,3282.0,3917.0,690.0,120016.454
1503101,Gurupá - PA,2024,455.0,2217.72,4823.0,5262.0,460.0,133509.524
1503200,Igarapé-Açu - PA,2024,640.0,2286.89,2674.0,3336.0,665.0,90820.863
1503309,Igarapé-Miri - PA,2024,955.0,3291.56,4384.0,5368.0,973.0,180611.407
1503408,Inhangapi - PA,2024,158.0,2125.05,837.0,971.0,159.0,21319.565
1503457,Ipixuna do Pará - PA,2024,512.0,2717.19,4651.0,5175.0,519.0,161083.069
1503507,Irituia - PA,2024,293.0,2432.47,2406.0,2683.0,299.0,75955.776
1503606,Itaituba - PA,2024,4874.0,3286.28,19521.0,24819.0,5086.0,851886.379
1503705,Itupiranga - PA,2024,749.0,2769.55,3917.0,4666.0,757.0,167691.235
1503754,Jacareacanga - PA,2024,436.0,3648.09,2013.0,2440.0,444.0,94458.569
1503804,Jacundá - PA,2024,921.0,2783.62,4462.0,5469.0,933.0,159365.823
1503903,Juruti - PA,2024,829.0,4230.59,9928.0,10735.0,864.0,513693.733
1504000,Limoeiro do Ajuru - PA,2024,248.0,2983.71,2128.0,2355.0,253.0,79309.787
1504059,Mãe do Rio - PA,2024,857.0,2815.87,3383.0,4250.0,871.0,122300.014
1504109,Magalhães Barata - PA,2024,98.0,1660.53,1082.0,1131.0,99.0,22892.314
1504208,Marabá - PA,2024,10554.0,3535.02,63413.0,75379.0,11177.0,2877155.695
1504307,Maracanã - PA,2024,243.0,2164.7,2911.0,3152.0,248.0,106924.85
1504406,Marapanim - PA,2024,377.0,1838.75,2238.0,2583.0,382.0,53128.392
1504422,Marituba - PA,2024,2346.0,2881.81,21193.0,23650.0,2411.0,775296.917
1504455,Medicilândia - PA,2024,479.0,2593.92,2275.0,2773.0,488.0,76947.118
1504505,Melgaço - PA,2024,219.0,2574.91,3116.0,3276.0,220.0,102113.9
1504604,Mocajuba - PA,2024,470.0,3359.29,2276.0,2709.0,479.0,101368.595
1504703,Moju - PA,2024,1152.0,2492.48,10811.0,12009.0,1181.0,359052.255
1504752,Mojuí dos Campos - PA,2024,346.0,2719.05,1748.0,2070.0,349.0,62233.185
1504802,Monte Alegre - PA,2024,992.0,3313.81,3988.0,5009.0,1043.0,165113.54
1504901,Muaná - PA,2024,352.0,2658.65,2588.0,2925.0,368.0,83028.047
1504950,Nova Esperança do Piriá - PA,2024,240.0,2675.86,1589.0,1811.0,244.0,53208.263
1504976,Nova Ipixuna - PA,2024,248.0,2871.95,1405.0,1639.0,250.0,49802.799
1505007,Nova Timboteua - PA,2024,187.0,2029.59,1352.0,1503.0,192.0,35633.832
1505031,Novo Progresso - PA,2024,1751.0,2667.37,6013.0,7885.0,1792.0,203061.473
1505064,Novo Repartimento - PA,2024,1136.0,3161.88,4410.0,5647.0,1181.0,209818.594
1505106,Óbidos - PA,2024,735.0,2417.72,6511.0,7258.0,772.0,200935.816
1505205,Oeiras do Pará - PA,2024,307.0,3302.7,2551.0,2818.0,313.0,102578.083
1505304,Oriximiná - PA,2024,1136.0,4479.31,8456.0,9635.0,1207.0,513711.041
1505403,Ourém - PA,2024,262.0,2363.37,1135.0,1379.0,266.0,34582.998
1505437,Ourilândia do Norte - PA,2024,956.0,3663.46,5983.0,6949.0,965.0,287228.806
1505486,Pacajá - PA,2024,786.0,2621.31,3303.0,4086.0,796.0,108799.86
1505494,Palestina do Pará - PA,2024,144.0,2957.84,600.0,719.0,145.0,21946.794
1505502,Paragominas - PA,2024,4103.0,3428.78,22924.0,27619.0,4295.0,1018344.245
1505536,Parauapebas - PA,2024,10627.0,4191.19,76429.0,88113.0,11056.0,4241582.612
1505551,Pau D'Arco - PA,2024,258.0,2767.29,557.0,807.0,262.0,26728.574
1505601,Peixe-Boi - PA,2024,129.0,2208.3,990.0,1096.0,129.0,29369.312
1505635,Piçarra - PA,2024,275.0,1711.73,1678.0,1932.0,281.0,44946.812
1505650,Placas - PA,2024,358.0,3047.03,1663.0,2021.0,364.0,66094.437
1505700,Ponta de Pedras - PA,2024,276.0,3173.5,951.0,1193.0,285.0,39262.474
1505809,Portel - PA,2024,899.0,1924.99,8385.0,9269.0,925.0,199164.906
1505908,Porto de Moz - PA,2024,459.0,2764.48,3452.0,3887.0,470.0,117504.963
1506005,Prainha - PA,2024,397.0,2658.53,2741.0,3116.0,431.0,95733.176
1506104,Primavera - PA,2024,188.0,2707.42,1246.0,1408.0,191.0,42881.892
1506112,Quatipuru - PA,2024,156.0,2481.04,796.0,910.0,157.0,25447.02
1506138,Redenção - PA,2024,4217.0,2617.88,18445.0,23472.0,4360.0,663303.832
1506161,Rio Maria - PA,2024,581.0,2418.58,3896.0,4533.0,592.0,121943.072
1506187,Rondon do Pará - PA,2024,1033.0,3127.85,3765.0,4944.0,1048.0,159441.34
1506195,Rurópolis - PA,2024,643.0,3018.18,2728.0,3351.0,668.0,110987.381
1506203,Salinópolis - PA,2024,1317.0,2004.9,6089.0,7328.0,1377.0,150623.368
1506302,Salvaterra - PA,2024,376.0,1918.5,1886.0,2242.0,385.0,50467.137
1506351,Santa Bárbara do Pará - PA,2024,342.0,1852.94,2713.0,3089.0,348.0,64089.948
1506401,Santa Cruz do Arari - PA,2024,77.0,2162.82,968.0,1023.0,77.0,27199.197
1506500,Santa Izabel do Pará - PA,2024,1468.0,2419.56,12677.0,14197.0,1517.0,388522.579
1506559,Santa Luzia do Pará - PA,2024,266.0,2350.51,1829.0,2086.0,269.0,55358.454
1506583,Santa Maria das Barreiras - PA,2024,575.0,2770.36,2671.0,3306.0,599.0,87660.772
1506609,Santa Maria do Pará - PA,2024,651.0,2252.39,2656.0,3304.0,668.0,74293.359
1506708,Santana do Araguaia - PA,2024,1356.0,2700.22,5472.0,6865.0,1389.0,192368.409
1506807,Santarém - PA,2024,11116.0,2887.72,50968.0,64200.0,11904.0,1895257.097
1506906,Santarém Novo - PA,2024,97.0,2495.48,754.0,816.0,97.0,23654.242
1507003,Santo Antônio do Tauá - PA,2024,435.0,2154.87,3940.0,4362.0,448.0,108215.005
1507102,São Caetano de Odivelas - PA,2024,240.0,2833.25,1286.0,1479.0,243.0,51051.335
1507151,São Domingos do Araguaia - PA,2024,512.0,2245.7,2755.0,3271.0,520.0,79027.937
1507201,São Domingos do Capim - PA,2024,339.0,2438.1,2291.0,2609.0,345.0,76220.881
1507300,São Félix do Xingu - PA,2024,1587.0,3520.41,6973.0,8745.0,1648.0,325248.023
1507409,São Francisco do Pará - PA,2024,247.0,2684.7,952.0,1192.0,251.0,46200.301
1507458,São Geraldo do Araguaia - PA,2024,700.0,2805.85,3626.0,4327.0,718.0,132401.886
1507466,São João da Ponta - PA,2024,87.0,2399.54,450.0,503.0,89.0,13957.787
1507474,São João de Pirabas - PA,2024,238.0,2024.9,1857.0,2052.0,247.0,48193.061
1507508,São João do Araguaia - PA,2024,171.0,2999.04,694.0,830.0,172.0,42122.074
1507607,São Miguel do Guamá - PA,2024,1075.0,1961.83,8241.0,9385.0,1099.0,204853.587
1507706,São Sebastião da Boa Vista - PA,2024,300.0,3138.33,1956.0,2244.0,310.0,76544.54
1507755,Sapucaia - PA,2024,143.0,1718.01,422.0,529.0,147.0,10086.558
1507805,Senador José Porfírio - PA,2024,304.0,2458.3,979.0,1251.0,308.0,39017.01
1507904,Soure - PA,2024,455.0,2335.45,2118.0,2579.0,466.0,63135.7
1507953,Tailândia - PA,2024,1939.0,2176.53,13896.0,15983.0,1980.0,397708.279
1507961,Terra Alta - PA,2024,157.0,2584.13,822.0,949.0,157.0,32743.391
1507979,Terra Santa - PA,2024,492.0,2823.49,1822.0,2285.0,510.0,70077.453
1508001,Tomé-Açu - PA,2024,1820.0,2475.0,11905.0,13846.0,1887.0,386288.564
1508035,Tracuateua - PA,2024,241.0,2920.7,1878.0,2107.0,244.0,68783.338
1508050,Trairão - PA,2024,475.0,2990.07,1774.0,2247.0,487.0,69737.498
1508084,Tucumã - PA,2024,1445.0,2799.46,7228.0,8824.0,1467.0,292918.689
1508100,Tucuruí - PA,2024,2264.0,2877.08,14353.0,16898.0,2361.0,527949.838
1508126,Ulianópolis - PA,2024,681.0,2671.88,5303.0,6026.0,694.0,187119.307
