municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,734467.017,municipal_gdp,734467.017
1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2021,3211294.276,municipal_gdp,3211294.276
1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2021,238414.100,municipal_gdp,238414.1
1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2021,2792505.911,municipal_gdp,2792505.911
1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2021,743061.678,municipal_gdp,743061.678
1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,424845.954,municipal_gdp,424845.954
1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2021,396740.220,municipal_gdp,396740.22
1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2021,316671.541,municipal_gdp,316671.541
1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,773371.568,municipal_gdp,773371.568
1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2021,1054254.562,municipal_gdp,1054254.562
1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2021,1764718.012,municipal_gdp,1764718.012
1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2021,4230355.007,municipal_gdp,4230355.007
1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,890319.226,municipal_gdp,890319.226
1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,549852.674,municipal_gdp,549852.674
1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,986045.503,municipal_gdp,986045.503
1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2021,1642621.468,municipal_gdp,1642621.468
1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2021,20056138.467,municipal_gdp,20056138.467
1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2021,560209.590,municipal_gdp,560209.59
1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2021,184428.411,municipal_gdp,184428.411
1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2021,1565241.344,municipal_gdp,1565241.344
1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,213590.225,municipal_gdp,213590.225
1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2021,4215441.811,municipal_gdp,4215441.811
1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2021,905340.789,municipal_gdp,905340.789
1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2021,742686.010,municipal_gdp,742686.01
1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,352629.612,municipal_gdp,352629.612
1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2021,483672.306,municipal_gdp,483672.306
1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2021,510740.487,municipal_gdp,510740.487
1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2021,966555.755,municipal_gdp,966555.755
1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,231501.394,municipal_gdp,231501.394
1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2021,275337.580,municipal_gdp,275337.58
1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2021,369126.710,municipal_gdp,369126.71
1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2021,655569.172,municipal_gdp,655569.172
1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2021,99626.808,municipal_gdp,99626.808
1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2021,468792.621,municipal_gdp,468792.621
1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2021,487755.511,municipal_gdp,487755.511
