municipality_code,municipality_name,period,gdp_current_brl_thousand
1100015,Alta Floresta D'Oeste - RO,2021,734467.017
1100023,Ariquemes - RO,2021,3211294.276
1100031,Cabixi - RO,2021,238414.1
1100049,Cacoal - RO,2021,2792505.911
1100056,Cerejeiras - RO,2021,743061.678
1100064,Colorado do Oeste - RO,2021,424845.954
1100072,Corumbiara - RO,2021,396740.22
1100080,Costa Marques - RO,2021,316671.541
1100098,Espigão D'Oeste - RO,2021,773371.568
1100106,Guajará-Mirim - RO,2021,1054254.562
1100114,Jaru - RO,2021,1764718.012
1100122,Ji-Paraná - RO,2021,4230355.007
1100130,Machadinho D'Oeste - RO,2021,890319.226
1100148,Nova Brasilândia D'Oeste - RO,2021,549852.674
1100155,Ouro Preto do Oeste - RO,2021,986045.503
1100189,Pimenta Bueno - RO,2021,1642621.468
1100205,Porto Velho - RO,2021,20056138.467
1100254,Presidente Médici - RO,2021,560209.59
1100262,Rio Crespo - RO,2021,184428.411
1100288,Rolim de Moura - RO,2021,1565241.344
1100296,Santa Luzia D'Oeste - RO,2021,213590.225
1100304,Vilhena - RO,2021,4215441.811
1100320,São Miguel do Guaporé - RO,2021,905340.789
1100338,Nova Mamoré - RO,2021,742686.01
1100346,Alvorada D'Oeste - RO,2021,352629.612
1100379,Alto Alegre dos Parecis - RO,2021,483672.306
1100403,Alto Paraíso - RO,2021,510740.487
1100452,Buritis - RO,2021,966555.755
1100502,Novo Horizonte do Oeste - RO,2021,231501.394
1100601,Cacaulândia - RO,2021,275337.58
1100700,Campo Novo de Rondônia - RO,2021,369126.71
1100809,Candeias do Jamari - RO,2021,655569.172
1100908,Castanheiras - RO,2021,99626.808
1100924,Chupinguaia - RO,2021,468792.621
1100940,Cujubim - RO,2021,487755.511
1101005,Governador Jorge Teixeira - RO,2021,239330.691
1101104,Itapuã do Oeste - RO,2021,209926.63
1101203,Ministro Andreazza - RO,2021,297876.095
1101302,Mirante da Serra - RO,2021,262626.607
1101401,Monte Negro - RO,2021,389781.112
1101435,Nova União - RO,2021,157320.907
1101450,Parecis - RO,2021,155429.633
1101468,Pimenteiras do Oeste - RO,2021,246208.537
1101476,Primavera de Rondônia - RO,2021,107029.668
1101484,São Felipe D'Oeste - RO,2021,130675.108
1101492,São Francisco do Guaporé - RO,2021,488140.713
1101500,Seringueiras - RO,2021,332985.668
1101559,Teixeirópolis - RO,2021,121304.252
1101609,Theobroma - RO,2021,257436.077
1101708,Urupá - RO,2021,273504.621
1101757,Vale do Anari - RO,2021,220947.883
1101807,Vale do Paraíso - RO,2021,185648.203
1200013,Acrelândia - AC,2021,398724.884
1200054,Assis Brasil - AC,2021,133916.175
1200104,Brasiléia - AC,2021,685636.225
1200138,Bujari - AC,2021,300830.265
1200179,Capixaba - AC,2021,512352.894
1200203,Cruzeiro do Sul - AC,2021,2058629.669
1200252,Epitaciolândia - AC,2021,644541.502
1200302,Feijó - AC,2021,567040.488
1200328,Jordão - AC,2021,113975.208
1200336,Mâncio Lima - AC,2021,269204.838
1200344,Manoel Urbano - AC,2021,184903.705
1200351,Marechal Thaumaturgo - AC,2021,256864.842
1200385,Plácido de Castro - AC,2021,601470.508
1200393,Porto Walter - AC,2021,160534.749
1200401,Rio Branco - AC,2021,10955674.857
1200427,Rodrigues Alves - AC,2021,255648.556
1200435,Santa Rosa do Purus - AC,2021,108545.109
1200450,Senador Guiomard - AC,2021,779671.689
1200500,Sena Madureira - AC,2021,748094.167
1200609,Tarauacá - AC,2021,711884.414
1200708,Xapuri - AC,2021,454980.626
1200807,Porto Acre - AC,2021,471314.639
1300029,Alvarães - AM,2021,217332.509
1300060,Amaturá - AM,2021,118871.741
1300086,Anamã - AM,2021,138599.397
1300102,Anori - AM,2021,248435.25
1300144,Apuí - AM,2021,297810.086
1300201,Atalaia do Norte - AM,2021,184947.271
1300300,Autazes - AM,2021,506340.588
1300409,Barcelos - AM,2021,245621.569
1300508,Barreirinha - AM,2021,344889.507
1300607,Benjamin Constant - AM,2021,388780.899
1300631,Beruri - AM,2021,211871.211
1300680,Boa Vista do Ramos - AM,2021,182412.101
1300706,Boca do Acre - AM,2021,512795.578
1300805,Borba - AM,2021,402130.676
1300839,Caapiranga - AM,2021,177894.147
1300904,Canutama - AM,2021,154316.147
1301001,Carauari - AM,2021,370663.056
1301100,Careiro - AM,2021,395194.093
1301159,Careiro da Várzea - AM,2021,413374.145
1301209,Coari - AM,2021,3380325.284
1301308,Codajás - AM,2021,531995.467
1301407,Eirunepé - AM,2021,568036.066
1301506,Envira - AM,2021,215526.707
1301605,Fonte Boa - AM,2021,222773.426
1301654,Guajará - AM,2021,177320.17
1301704,Humaitá - AM,2021,860167.548
1301803,Ipixuna - AM,2021,216518.72
1301852,Iranduba - AM,2021,1001862.277
1301902,Itacoatiara - AM,2021,2350463.023
1301951,Itamarati - AM,2021,135619.961
1302009,Itapiranga - AM,2021,152509.179
1302108,Japurá - AM,2021,85808.931
1302207,Juruá - AM,2021,138073.554
1302306,Jutaí - AM,2021,266376.707
1302405,Lábrea - AM,2021,625197.781
1302504,Manacapuru - AM,2021,1544675.041
1302553,Manaquiri - AM,2021,311334.942
1302603,Manaus - AM,2021,103281399.993
1302702,Manicoré - AM,2021,686279.179
1302801,Maraã - AM,2021,176217.181
1302900,Maués - AM,2021,595826.343
1303007,Nhamundá - AM,2021,207005.201
1303106,Nova Olinda do Norte - AM,2021,341652.222
1303205,Novo Airão - AM,2021,186533.353
1303304,Novo Aripuanã - AM,2021,252421.954
1303403,Parintins - AM,2021,1426971.581
1303502,Pauini - AM,2021,199541.324
1303536,Presidente Figueiredo - AM,2021,1031905.063
1303569,Rio Preto da Eva - AM,2021,407145.836
1303601,Santa Isabel do Rio Negro - AM,2021,185816.959
1303700,Santo Antônio do Içá - AM,2021,237314.012
1303809,São Gabriel da Cachoeira - AM,2021,423054.82
1303908,São Paulo de Olivença - AM,2021,334131.304
1303957,São Sebastião do Uatumã - AM,2021,136609.077
1304005,Silves - AM,2021,175041.607
1304062,Tabatinga - AM,2021,758034.734
1304104,Tapauá - AM,2021,239943.811
1304203,Tefé - AM,2021,1098391.851
1304237,Tonantins - AM,2021,185410.261
1304260,Uarini - AM,2021,229208.979
1304302,Urucará - AM,2021,205655.739
1304401,Urucurituba - AM,2021,232660.624
1400027,Amajari - RR,2021,240826.098
1400050,Alto Alegre - RR,2021,385506.664
1400100,Boa Vista - RR,2021,13493364.054
1400159,Bonfim - RR,2021,522405.211
1400175,Cantá - RR,2021,353071.266
1400209,Caracaraí - RR,2021,453297.537
1400233,Caroebe - RR,2021,236787.802
1400282,Iracema - RR,2021,208476.682
1400308,Mucajaí - RR,2021,393852.028
1400407,Normandia - RR,2021,202859.421
1400456,Pacaraima - RR,2021,329091.961
1400472,Rorainópolis - RR,2021,732355.771
1400506,São João da Baliza - RR,2021,327768.1
1400605,São Luiz do Anauá - RR,2021,178971.582
1400704,Uiramutã - RR,2021,143945.313
1500107,Abaetetuba - PA,2021,1947974.167
1500131,Abel Figueiredo - PA,2021,105404.256
1500206,Acará - PA,2021,1432520.752
1500305,Afuá - PA,2021,443759.447
1500347,Água Azul do Norte - PA,2021,642852.642
1500404,Alenquer - PA,2021,744810.674
1500503,Almeirim - PA,2021,687773.094
1500602,Altamira - PA,2021,3118776.506
1500701,Anajás - PA,2021,258574.161
1500800,Ananindeua - PA,2021,8937579.161
1500859,Anapu - PA,2021,587646.637
1500909,Augusto Corrêa - PA,2021,363264.865
1500958,Aurora do Pará - PA,2021,308260.187
1501006,Aveiro - PA,2021,151776.231
1501105,Bagre - PA,2021,250289.533
1501204,Baião - PA,2021,561718.716
1501253,Bannach - PA,2021,128925.331
1501303,Barcarena - PA,2021,9242378.136
1501402,Belém - PA,2021,33567694.796
1501451,Belterra - PA,2021,236957.565
1501501,Benevides - PA,2021,1986151.576
1501576,Bom Jesus do Tocantins - PA,2021,243654.131
1501600,Bonito - PA,2021,206570.498
1501709,Bragança - PA,2021,1388410.604
1501725,Brasil Novo - PA,2021,379575.301
1501758,Brejo Grande do Araguaia - PA,2021,114973.901
1501782,Breu Branco - PA,2021,793767.522
1501808,Breves - PA,2021,892629.519
1501907,Bujaru - PA,2021,536455.711
1501956,Cachoeira do Piriá - PA,2021,227354.188
1502004,Cachoeira do Arari - PA,2021,255900.891
1502103,Cametá - PA,2021,1392448.604
1502152,Canaã dos Carajás - PA,2021,34987915.115
1502202,Capanema - PA,2021,1426639.092
1502301,Capitão Poço - PA,2021,615256.053
1502400,Castanhal - PA,2021,4707380.586
1502509,Chaves - PA,2021,247974.064
1502608,Colares - PA,2021,100826.097
1502707,Conceição do Araguaia - PA,2021,662414.901
1502756,Concórdia do Pará - PA,2021,419794.953
1502764,Cumaru do Norte - PA,2021,406772.444
1502772,Curionópolis - PA,2021,3666990.538
1502806,Curralinho - PA,2021,282041.976
1502855,Curuá - PA,2021,149513.604
1502905,Curuçá - PA,2021,369391.284
1502939,Dom Eliseu - PA,2021,940079.607
1502954,Eldorado do Carajás - PA,2021,555637.462
1503002,Faro - PA,2021,76574.244
1503044,Floresta do Araguaia - PA,2021,602376.996
