municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
1100015,Alta Floresta D'Oeste - RO,9324,População residente estimada,2024,22853,population_estimate,22853.0
1100023,Ariquemes - RO,9324,População residente estimada,2024,108573,population_estimate,108573.0
1100031,Cabixi - RO,9324,População residente estimada,2024,5690,population_estimate,5690.0
1100049,Cacoal - RO,9324,População residente estimada,2024,97637,population_estimate,97637.0
1100056,Cerejeiras - RO,9324,População residente estimada,2024,16975,population_estimate,16975.0
1100064,Colorado do Oeste - RO,9324,População residente estimada,2024,16588,population_estimate,16588.0
1100072,Corumbiara - RO,9324,População residente estimada,2024,8001,population_estimate,8001.0
1100080,Costa Marques - RO,9324,População residente estimada,2024,13522,population_estimate,13522.0
1100098,Espigão D'Oeste - RO,9324,População residente estimada,2024,32717,population_estimate,32717.0
1100106,Guajará-Mirim - RO,9324,População residente estimada,2024,43553,population_estimate,43553.0
1100114,Jaru - RO,9324,População residente estimada,2024,55583,population_estimate,55583.0
1100122,Ji-Paraná - RO,9324,População residente estimada,2024,139359,population_estimate,139359.0
1100130,Machadinho D'Oeste - RO,9324,População residente estimada,2024,34063,population_estimate,34063.0
1100148,Nova Brasilândia D'Oeste - RO,9324,População residente estimada,2024,16504,population_estimate,16504.0
1100155,Ouro Preto do Oeste - RO,9324,População residente estimada,2024,38681,population_estimate,38681.0
1100189,Pimenta Bueno - RO,9324,População residente estimada,2024,39053,population_estimate,39053.0
1100205,Porto Velho - RO,9324,População residente estimada,2024,514873,population_estimate,514873.0
1100254,Presidente Médici - RO,9324,População residente estimada,2024,20518,population_estimate,20518.0
1100262,Rio Crespo - RO,9324,População residente estimada,2024,3753,population_estimate,3753.0
1100288,Rolim de Moura - RO,9324,População residente estimada,2024,62559,population_estimate,62559.0
1100296,Santa Luzia D'Oeste - RO,9324,População residente estimada,2024,7877,population_estimate,7877.0
1100304,Vilhena - RO,9324,População residente estimada,2024,108528,population_estimate,108528.0
1100320,São Miguel do Guaporé - RO,9324,População residente estimada,2024,22267,population_estimate,22267.0
1100338,Nova Mamoré - RO,9324,População residente estimada,2024,28496,population_estimate,28496.0
1100346,Alvorada D'Oeste - RO,9324,População residente estimada,2024,13837,population_estimate,13837.0
1100379,Alto Alegre dos Parecis - RO,9324,População residente estimada,2024,12263,population_estimate,12263.0
1100403,Alto Paraíso - RO,9324,População residente estimada,2024,17463,population_estimate,17463.0
1100452,Buritis - RO,9324,População residente estimada,2024,30729,population_estimate,30729.0
1100502,Novo Horizonte do Oeste - RO,9324,População residente estimada,2024,8056,population_estimate,8056.0
1100601,Cacaulândia - RO,9324,População residente estimada,2024,4345,population_estimate,4345.0
1100700,Campo Novo de Rondônia - RO,9324,População residente estimada,2024,9225,population_estimate,9225.0
1100809,Candeias do Jamari - RO,9324,População residente estimada,2024,24163,population_estimate,24163.0
1100908,Castanheiras - RO,9324,População residente estimada,2024,3456,population_estimate,3456.0
1100924,Chupinguaia - RO,9324,População residente estimada,2024,10129,population_estimate,10129.0
1100940,Cujubim - RO,9324,População residente estimada,2024,15883,population_estimate,15883.0
1101005,Governador Jorge Teixeira - RO,9324,População residente estimada,2024,8420,population_estimate,8420.0
