municipality_code,municipality_name,period,population_estimated
1100015,Alta Floresta D'Oeste - RO,2024,22853.0
1100023,Ariquemes - RO,2024,108573.0
1100031,Cabixi - RO,2024,5690.0
1100049,Cacoal - RO,2024,97637.0
1100056,Cerejeiras - RO,2024,16975.0
1100064,Colorado do Oeste - RO,2024,16588.0
1100072,Corumbiara - RO,2024,8001.0
1100080,Costa Marques - RO,2024,13522.0
1100098,Espigão D'Oeste - RO,2024,32717.0
1100106,Guajará-Mirim - RO,2024,43553.0
1100114,Jaru - RO,2024,55583.0
1100122,Ji-Paraná - RO,2024,139359.0
1100130,Machadinho D'Oeste - RO,2024,34063.0
1100148,Nova Brasilândia D'Oeste - RO,2024,16504.0
1100155,Ouro Preto do Oeste - RO,2024,38681.0
1100189,Pimenta Bueno - RO,2024,39053.0
1100205,Porto Velho - RO,2024,514873.0
1100254,Presidente Médici - RO,2024,20518.0
1100262,Rio Crespo - RO,2024,3753.0
1100288,Rolim de Moura - RO,2024,62559.0
1100296,Santa Luzia D'Oeste - RO,2024,7877.0
1100304,Vilhena - RO,2024,108528.0
1100320,São Miguel do Guaporé - RO,2024,22267.0
1100338,Nova Mamoré - RO,2024,28496.0
1100346,Alvorada D'Oeste - RO,2024,13837.0
1100379,Alto Alegre dos Parecis - RO,2024,12263.0
1100403,Alto Paraíso - RO,2024,17463.0
1100452,Buritis - RO,2024,30729.0
1100502,Novo Horizonte do Oeste - RO,2024,8056.0
1100601,Cacaulândia - RO,2024,4345.0
1100700,Campo Novo de Rondônia - RO,2024,9225.0
1100809,Candeias do Jamari - RO,2024,24163.0
1100908,Castanheiras - RO,2024,3456.0
1100924,Chupinguaia - RO,2024,10129.0
1100940,Cujubim - RO,2024,15883.0
1101005,Governador Jorge Teixeira - RO,2024,8420.0
1101104,Itapuã do Oeste - RO,2024,9209.0
1101203,Ministro Andreazza - RO,2024,6657.0
1101302,Mirante da Serra - RO,2024,9740.0
1101401,Monte Negro - RO,2024,12241.0
1101435,Nova União - RO,2024,6577.0
1101450,Parecis - RO,2024,4390.0
1101468,Pimenteiras do Oeste - RO,2024,2311.0
1101476,Primavera de Rondônia - RO,2024,3279.0
1101484,São Felipe D'Oeste - RO,2024,5605.0
1101492,São Francisco do Guaporé - RO,2024,17511.0
1101500,Seringueiras - RO,2024,12954.0
1101559,Teixeirópolis - RO,2024,4536.0
1101609,Theobroma - RO,2024,8540.0
1101708,Urupá - RO,2024,11377.0
1101757,Vale do Anari - RO,2024,8265.0
1101807,Vale do Paraíso - RO,2024,6843.0
1200013,Acrelândia - AC,2024,14657.0
1200054,Assis Brasil - AC,2024,8573.0
1200104,Brasiléia - AC,2024,27841.0
1200138,Bujari - AC,2024,13766.0
1200179,Capixaba - AC,2024,10922.0
1200203,Cruzeiro do Sul - AC,2024,98382.0
1200252,Epitaciolândia - AC,2024,19739.0
1200302,Feijó - AC,2024,37644.0
1200328,Jordão - AC,2024,9787.0
1200336,Mâncio Lima - AC,2024,20329.0
1200344,Manoel Urbano - AC,2024,12776.0
1200351,Marechal Thaumaturgo - AC,2024,17951.0
1200385,Plácido de Castro - AC,2024,17127.0
1200393,Porto Walter - AC,2024,11275.0
1200401,Rio Branco - AC,2024,387852.0
1200427,Rodrigues Alves - AC,2024,15537.0
1200435,Santa Rosa do Purus - AC,2024,7143.0
1200450,Senador Guiomard - AC,2024,22352.0
1200500,Sena Madureira - AC,2024,43916.0
1200609,Tarauacá - AC,2024,46517.0
1200708,Xapuri - AC,2024,19090.0
1200807,Porto Acre - AC,2024,17455.0
1300029,Alvarães - AM,2024,16670.0
1300060,Amaturá - AM,2024,11411.0
1300086,Anamã - AM,2024,10318.0
1300102,Anori - AM,2024,17932.0
1300144,Apuí - AM,2024,21735.0
1300201,Atalaia do Norte - AM,2024,15892.0
1300300,Autazes - AM,2024,45328.0
1300409,Barcelos - AM,2024,18626.0
1300508,Barreirinha - AM,2024,33436.0
1300607,Benjamin Constant - AM,2024,40509.0
1300631,Beruri - AM,2024,22136.0
1300680,Boa Vista do Ramos - AM,2024,25769.0
1300706,Boca do Acre - AM,2024,38246.0
1300805,Borba - AM,2024,34879.0
1300839,Caapiranga - AM,2024,14310.0
1300904,Canutama - AM,2024,17885.0
1301001,Carauari - AM,2024,30892.0
1301100,Careiro - AM,2024,32442.0
1301159,Careiro da Várzea - AM,2024,19809.0
1301209,Coari - AM,2024,73820.0
1301308,Codajás - AM,2024,24451.0
1301407,Eirunepé - AM,2024,35534.0
1301506,Envira - AM,2024,17920.0
1301605,Fonte Boa - AM,2024,27875.0
1301654,Guajará - AM,2024,14332.0
1301704,Humaitá - AM,2024,62312.0
1301803,Ipixuna - AM,2024,25458.0
1301852,Iranduba - AM,2024,67114.0
1301902,Itacoatiara - AM,2024,112520.0
1301951,Itamarati - AM,2024,11730.0
1302009,Itapiranga - AM,2024,10805.0
1302108,Japurá - AM,2024,9397.0
1302207,Juruá - AM,2024,11152.0
1302306,Jutaí - AM,2024,27656.0
1302405,Lábrea - AM,2024,48927.0
1302504,Manacapuru - AM,2024,110691.0
1302553,Manaquiri - AM,2024,17009.0
1302603,Manaus - AM,2024,2279686.0
1302702,Manicoré - AM,2024,57758.0
1302801,Maraã - AM,2024,15843.0
1302900,Maués - AM,2024,65714.0
1303007,Nhamundá - AM,2024,21106.0
1303106,Nova Olinda do Norte - AM,2024,28267.0
1303205,Novo Airão - AM,2024,16467.0
1303304,Novo Aripuanã - AM,2024,24987.0
1303403,Parintins - AM,2024,101956.0
1303502,Pauini - AM,2024,20232.0
1303536,Presidente Figueiredo - AM,2024,33004.0
1303569,Rio Preto da Eva - AM,2024,25723.0
1303601,Santa Isabel do Rio Negro - AM,2024,14176.0
1303700,Santo Antônio do Içá - AM,2024,30448.0
1303809,São Gabriel da Cachoeira - AM,2024,56406.0
1303908,São Paulo de Olivença - AM,2024,35196.0
1303957,São Sebastião do Uatumã - AM,2024,12247.0
1304005,Silves - AM,2024,12404.0
1304062,Tabatinga - AM,2024,72283.0
1304104,Tapauá - AM,2024,20501.0
1304203,Tefé - AM,2024,79278.0
1304237,Tonantins - AM,2024,20224.0
1304260,Uarini - AM,2024,15278.0
1304302,Urucará - AM,2024,19505.0
1304401,Urucurituba - AM,2024,25592.0
1400027,Amajari - RR,2024,15583.0
1400050,Alto Alegre - RR,2024,23049.0
1400100,Boa Vista - RR,2024,470169.0
1400159,Bonfim - RR,2024,15222.0
1400175,Cantá - RR,2024,20552.0
1400209,Caracaraí - RR,2024,22443.0
1400233,Caroebe - RR,2024,11708.0
1400282,Iracema - RR,2024,10778.0
1400308,Mucajaí - RR,2024,19619.0
1400407,Normandia - RR,2024,15744.0
1400456,Pacaraima - RR,2024,22104.0
1400472,Rorainópolis - RR,2024,36747.0
1400506,São João da Baliza - RR,2024,9727.0
1400605,São Luiz do Anauá - RR,2024,7777.0
1400704,Uiramutã - RR,2024,15571.0
1500107,Abaetetuba - PA,2024,170999.0
1500131,Abel Figueiredo - PA,2024,6302.0
1500206,Acará - PA,2024,62701.0
1500305,Afuá - PA,2024,40246.0
1500347,Água Azul do Norte - PA,2024,17960.0
1500404,Alenquer - PA,2024,74836.0
1500503,Almeirim - PA,2024,36334.0
1500602,Altamira - PA,2024,136982.0
1500701,Anajás - PA,2024,30003.0
1500800,Ananindeua - PA,2024,507838.0
1500859,Anapu - PA,2024,34947.0
1500909,Augusto Corrêa - PA,2024,47596.0
1500958,Aurora do Pará - PA,2024,24321.0
1501006,Aveiro - PA,2024,19223.0
1501105,Bagre - PA,2024,34633.0
1501204,Baião - PA,2024,55949.0
1501253,Bannach - PA,2024,4252.0
1501303,Barcarena - PA,2024,137331.0
1501402,Belém - PA,2024,1398531.0
1501451,Belterra - PA,2024,18954.0
1501501,Benevides - PA,2024,68191.0
1501576,Bom Jesus do Tocantins - PA,2024,18958.0
1501600,Bonito - PA,2024,12998.0
1501709,Bragança - PA,2024,131679.0
1501725,Brasil Novo - PA,2024,26606.0
1501758,Brejo Grande do Araguaia - PA,2024,6985.0
